Timestamp,Relative Humidity (%)
07/20/2018 14:53:12,3.5
07/20/2018 14:53:14,3.2
07/20/2018 14:53:16,3.2
07/20/2018 14:53:18,3.2
07/20/2018 14:53:20,3.0
07/20/2018 14:53:22,3.0
07/20/2018 14:53:24,3.2
07/20/2018 14:53:26,3.2
07/20/2018 14:53:28,3.0
07/20/2018 14:53:30,3.5
07/20/2018 14:53:33,3.2
07/20/2018 14:53:35,3.2
07/20/2018 14:53:37,3.2
07/20/2018 14:53:39,3.2
07/20/2018 14:53:41,3.2
07/20/2018 14:53:43,3.2
07/20/2018 14:53:45,3.2
07/20/2018 14:53:47,3.2
07/20/2018 14:53:49,3.2
07/20/2018 14:53:51,3.2
07/20/2018 14:53:53,3.2
07/20/2018 14:53:55,3.5
07/20/2018 14:53:57,3.2
07/20/2018 14:53:59,3.2
07/20/2018 14:54:01,3.2
07/20/2018 14:54:03,3.2
07/20/2018 14:54:05,3.2
07/20/2018 14:54:07,3.2
07/20/2018 14:54:09,3.2
07/20/2018 14:54:11,3.2
07/20/2018 14:54:13,3.0
07/20/2018 14:54:15,3.2
07/20/2018 14:54:17,3.2
07/20/2018 14:54:19,3.2
07/20/2018 14:54:21,3.2
07/20/2018 14:54:23,3.2
07/20/2018 14:54:25,3.2
07/20/2018 14:54:27,3.2
07/20/2018 14:54:29,3.2
07/20/2018 14:54:31,3.2
07/20/2018 14:54:33,3.2
07/20/2018 14:54:35,3.2
07/20/2018 14:54:37,3.2
07/20/2018 14:54:39,3.5
07/20/2018 14:54:41,3.2
07/20/2018 14:54:43,3.2
07/20/2018 14:54:45,3.2
07/20/2018 14:54:47,3.2
07/20/2018 14:54:49,3.2
07/20/2018 14:54:51,3.2
07/20/2018 14:54:53,3.2
07/20/2018 14:54:55,3.2
07/20/2018 14:54:57,3.2
07/20/2018 14:54:59,3.2
07/20/2018 14:55:01,3.2
07/20/2018 14:55:03,3.2
07/20/2018 14:55:05,3.0
07/20/2018 14:55:07,3.2
07/20/2018 14:55:09,3.2
